Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Czarnia	59.30	84.91	15.09
Krasne	61.46	79.88	20.12
Słupia (Jędrzejowska)	63.75	79.91	20.09
Lipnica Wielka	67.08	86.53	13.47
Kuźnica	62.20	75.31	24.69
Warnice	60.79	66.71	33.29
Huszlew	67.28	85.74	14.26
Gnojno	66.76	83.11	16.89
Jarczów	59.63	83.80	16.20
Pałecznica	67.35	81.72	18.28
Czarnocin	58.92	77.71	22.29
Bisztynek	51.74	52.39	47.61
Przeworno	63.98	65.74	34.26
Miłki	63.00	42.59	57.41
Aleksandrów	62.40	85.18	14.82
Wojsławice	59.91	79.98	20.02
Dołhobyczów	54.88	76.75	23.25
Ciechanów	64.64	63.49	36.51
Cewice	64.79	55.16	44.84
Sadowie	65.76	75.87	24.13
Gościeradów	62.95	77.96	22.04
Przesmyki	67.91	84.76	15.24
Rewal	85.05	32.68	67.32
Stare Bogaczowice	66.45	45.80	54.20
Tyrawa Wołoska	59.46	74.66	25.34
Świątki	54.46	56.31	43.69
Budry	52.29	63.46	36.54
Sośno	57.69	62.01	37.99
Bytnica	60.88	48.72	51.28
Gniewoszów	67.34	77.68	22.32
Filipów	59.11	71.35	28.65
Działoszyce	61.23	73.19	26.81
Nielisz	60.23	78.10	21.90
Opatowiec	54.16	67.10	32.90
Ostroróg	66.58	45.86	54.14
Świerzno	60.66	43.19	56.81
Osiek	58.80	66.91	33.09
Lubiszyn	60.43	44.30	55.70
Wieczfnia Kościelna	65.66	76.90	23.10
Czernice Borowe	67.33	79.27	20.73
Lipsk	59.28	74.60	25.40
Malczyce	62.89	58.49	41.51
Łasin	58.83	61.41	38.59
Lniano	64.94	59.45	40.55
Łopiennik Górny	61.09	80.77	19.23
Bobrowice	61.57	46.13	53.87
Drawsko	65.58	55.83	44.17
Dąbie	66.15	77.56	22.44
Skępe	62.96	57.95	42.05
Rypin	64.70	49.19	50.81
Frampol	63.47	78.55	21.45
Hrubieszów	57.18	77.33	22.67
Dubeninki	53.70	60.68	39.32
Mikstat	66.24	70.87	29.13
Hrubieszów	61.61	57.50	42.50
Piątek	68.75	75.81	24.19
Łęki Szlacheckie	64.48	77.78	22.22
Trzyciąż	72.33	78.22	21.78
Szczutowo	64.00	71.18	28.82
Jawornik Polski	66.58	75.96	24.04
Postomino	74.81	45.25	54.75
Stronie Śląskie	62.22	41.76	58.24
Nowe	57.43	50.29	49.71
Józefów nad Wisłą	62.25	76.59	23.41
Sabnie	68.11	76.42	23.58
Korfantów	53.12	67.59	32.41
Bielsk Podlaski	53.88	51.10	48.90
Czeremcha	53.90	49.13	50.87
Kaliska	61.51	56.93	43.07
Ujsoły	68.85	66.28	33.72
Bejsce	55.69	72.47	27.53
Grunwald	58.25	56.66	43.34
Biała Piska	52.24	68.36	31.64
Jedlina-Zdrój	65.00	38.12	61.88
Radziejów	62.88	64.85	35.15
